Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,sqf,mthly rent,Restaurant Type.1,Location Type,Restaurant Status
1025,1,3,10,31,10,2019,4354,23009,34789,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,587233,584232,783537,514776,28691,5234,23785,1,1,1
1026,1,3,10,31,10,2019,4354,22349,34129,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,587746,600169,782877,513202,28031,3054,24298,1,1,1
1027,1,3,10,31,10,2019,4354,22318,34098,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,587872,608981,782846,509598,28000,4201,24424,1,1,1
1028,1,3,10,31,10,2019,4354,18326,30106,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,588045,603695,778854,508435,24008,1611,24597,1,1,1
1029,1,3,10,31,10,2019,4354,22250,34030,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,588156,606963,782778,510411,27932,613,24708,1,1,1
1030,1,3,10,31,10,2019,4354,22119,33899,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,588182,612248,782647,514020,27801,474,24734,1,1,1
1031,1,3,10,31,10,2019,4354,22164,33944,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,588312,624771,782692,513471,27846,5484,24864,1,1,1
1032,1,3,10,31,10,2019,4354,20333,32113,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,588487,614038,780861,507721,26015,2222,25039,1,1,1
1033,1,3,10,31,10,2019,4354,23471,35251,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,588724,614408,783999,512945,29153,3192,25276,1,1,1
1034,1,3,10,31,10,2019,4354,23111,34891,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,588827,590885,783639,513832,28793,3268,25379,1,1,1
1035,1,3,10,31,10,2019,4354,20029,31809,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589054,598832,780557,506861,25711,2014,25606,1,1,1
1036,1,3,10,31,10,2019,4354,19109,30889,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589174,618160,779637,507606,24791,2241,25726,1,1,1
1037,1,3,10,31,10,2019,4354,19916,31696,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589218,586781,780444,507674,25598,4590,25770,1,1,1
1038,1,3,10,31,10,2019,4354,19214,30994,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589236,640735,779742,510300,24896,3735,25788,1,1,1
1039,1,3,10,31,10,2019,4354,20439,32219,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589343,589849,780967,512384,26121,2700,25895,1,1,1
1040,1,3,10,31,10,2019,4354,21620,33400,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589462,588298,782148,508895,27302,4243,26014,1,1,1
1041,1,3,10,31,10,2019,4354,20675,32455,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589600,625031,781203,513124,26357,4790,26152,1,1,1
1042,1,3,10,31,10,2019,4354,18309,30089,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589656,624554,778837,510096,23991,2869,26208,1,1,1
1043,1,3,10,31,10,2019,4354,22923,34703,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,589658,624039,783451,512063,28605,5212,26210,1,1,1
1044,1,3,10,31,10,2019,4354,21083,32863,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,590203,598526,781611,510147,26765,3848,26755,1,1,1
1045,1,3,10,31,10,2019,4354,20242,32022,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,590928,622588,780770,510039,25924,1667,27480,1,1,1
1046,1,3,10,31,10,2019,4354,23987,35767,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,590941,594518,784515,515755,29669,75,27493,1,1,1
1047,1,3,10,31,10,2019,4354,18338,30118,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,590982,584270,778866,509223,24020,2096,27534,1,1,1
1048,1,3,10,31,10,2019,4354,20275,32055,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,591239,635874,780803,511064,25957,605,27791,1,1,1
1049,1,3,10,31,10,2019,4354,19845,31625,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,591949,583375,780373,511797,25527,2574,28501,1,1,1
1050,1,3,10,31,10,2019,4354,19252,31032,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,592119,603761,779780,510509,24934,4295,28671,1,1,1
1051,2,4,18,4,11,2020,3100,20041,32251,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,600910,79898,511646,33676,6044,5571,100846,2,1,1
1052,2,4,18,4,11,2020,3100,18518,30728,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601133,114539,510123,31536,4521,5517,101069,2,1,1
1053,2,4,18,4,11,2020,3100,20930,33140,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601148,99501,512535,33646,6933,7662,101084,2,1,1
1054,2,4,18,4,11,2020,3100,16034,28244,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601191,107908,507639,27378,2037,6419,101127,2,1,1
1055,2,4,18,4,11,2020,3100,19478,31688,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601274,130226,511083,32115,5481,8196,101210,2,1,1
1056,2,4,18,4,11,2020,3100,20933,33143,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601321,85720,512538,29665,6936,5192,101257,2,1,1
1057,2,4,18,4,11,2020,3100,19840,32050,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601476,127827,511445,31498,5843,4483,101412,2,1,1
1058,2,4,18,4,11,2020,3100,20855,33065,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601745,110873,512460,30907,6858,8558,101681,2,1,1
1059,2,4,18,4,11,2020,3100,15441,27651,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,601912,94118,507046,27847,1444,7725,101848,2,1,1
1060,2,4,18,4,11,2020,3100,19458,31668,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,602009,87253,511063,27591,5461,6849,101945,2,1,1
1061,2,4,18,4,11,2020,3100,20113,32323,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,602189,99324,511718,29110,6116,3584,102125,2,1,1
1062,2,4,18,4,11,2020,3100,15678,27888,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,602336,85386,507283,27344,1681,6774,102272,2,1,1
1063,2,4,18,4,11,2020,3100,15328,27538,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,602343,97094,506933,26637,1331,5376,102279,2,1,1
1064,2,4,18,4,11,2020,3100,16438,28648,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,602403,80521,508043,29435,2441,7879,102339,2,1,1
1065,2,4,18,4,11,2020,3100,17924,30134,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,602714,88793,509529,29241,3927,8633,102650,2,1,1
1066,2,4,18,4,11,2020,3100,18119,30329,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,602864,124057,509724,26544,4122,5079,102800,2,1,1
1067,2,4,18,4,11,2020,3100,17619,29829,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603010,122538,509224,27031,3622,4765,102946,2,1,1
1068,2,4,18,4,11,2020,3100,17845,30055,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603219,122919,509450,28975,3848,5422,103155,2,1,1
1069,2,4,18,4,11,2020,3100,16879,29089,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603508,103554,508484,28192,2882,4915,103444,2,1,1
1070,2,4,18,4,11,2020,3100,19274,31484,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603551,106091,510879,27731,5277,7926,103487,2,1,1
1071,2,4,18,4,11,2020,3100,16281,28491,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603746,93420,507886,28603,2284,7315,103682,2,1,1
1072,2,4,18,4,11,2020,3100,16429,28639,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603754,96414,508034,27015,2432,3699,103690,2,1,1
1073,2,4,18,4,11,2020,3100,15334,27544,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603782,123016,506939,27322,1337,5907,103718,2,1,1
1074,2,4,18,4,11,2020,3100,18380,30590,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,603802,94356,509985,26785,4383,6260,103738,2,1,1
1075,2,4,18,4,11,2020,3100,18874,31084,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,604660,116223,510479,29678,4877,5220,104596,2,1,1
1076,2,4,18,4,11,2020,3100,16800,29010,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,604865,120121,508405,27076,2803,5064,104801,2,1,1
1077,2,4,18,4,11,2020,3100,19454,31664,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,605506,120041,511059,31579,5457,4004,105442,2,1,1
1078,2,4,18,4,11,2020,3100,17234,29444,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,605521,117780,508839,27317,3237,6344,105457,2,1,1
1079,2,4,18,4,11,2020,3100,15857,28067,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,605647,98374,507462,28373,1860,6962,105583,2,1,1
1080,2,4,18,4,11,2020,3100,15941,28151,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,605709,88679,507546,26943,1944,7796,105645,2,1,1
1081,2,4,18,4,11,2020,3100,15330,27540,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,605794,80760,506935,24990,1333,8077,105730,2,1,1
1082,2,4,18,4,11,2020,3100,15552,27762,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,605952,110823,507157,28256,1555,7410,105888,2,1,1
1083,2,4,18,4,11,2020,3100,20965,33175,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,606388,85420,512570,33726,6968,7974,106324,2,1,1
1084,2,4,18,4,11,2020,3100,15940,28150,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,606637,91829,507545,28981,1943,4006,106573,2,1,1
1085,2,4,18,4,11,2020,3100,19004,31214,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,606692,71891,510609,29569,5007,4519,106628,2,1,1
1086,2,4,18,4,11,2020,3100,20500,32710,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,606829,103160,512105,28563,6503,6134,106765,2,1,1
1087,2,4,18,4,11,2020,3100,19402,31612,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,607028,87952,511007,29216,5405,6354,106964,2,1,1
1088,2,4,18,4,11,2020,3100,19964,32174,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,607367,94406,511569,29647,5967,7468,107303,2,1,1
1089,2,4,18,4,11,2020,3100,17097,29307,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,607405,111926,508702,28214,3100,6546,107341,2,1,1
1090,2,4,18,4,11,2020,3100,15872,28082,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,607631,98727,507477,24459,1875,6874,107567,2,1,1
1091,2,4,18,4,11,2020,3100,19745,31955,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,607805,78040,511350,32811,5748,4105,107741,2,1,1
1092,2,4,18,4,11,2020,3100,17321,29531,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,607955,105715,508926,26231,3324,3907,107891,2,1,1
1093,2,4,18,4,11,2020,3100,20848,33058,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,608147,79539,512453,29909,6851,5359,108083,2,1,1
1094,2,4,18,4,11,2020,3100,19950,32160,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,608203,77625,511555,30581,5953,8364,108139,2,1,1
1095,2,4,18,4,11,2020,3100,17574,29784,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,608208,119689,509179,28201,3577,8086,108144,2,1,1
1096,2,4,18,4,11,2020,3100,16980,29190,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,608978,88834,508585,26152,2983,5112,108914,2,1,1
1097,2,4,18,4,11,2020,3100,16483,28693,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,609222,99187,508088,25012,2486,8684,109158,2,1,1
1098,2,4,18,4,11,2020,3100,20643,32853,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,609245,97819,512248,32167,6646,5164,109181,2,1,1
1099,2,4,18,4,11,2020,3100,15506,27716,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,609341,130007,507111,24911,1509,8276,109277,2,1,1
1100,2,4,18,4,11,2020,3100,20985,33195,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,609463,97544,512590,30336,6988,7786,109399,2,1,1
1101,2,1,2,25,4,2019,764,6363,13655,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,628147,165251,410332,103716,3394,4450,65270,2,4,0
1102,2,1,2,25,4,2019,764,8744,16036,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,628255,151490,412713,105329,5775,1902,65378,2,4,0
1103,2,1,2,25,4,2019,764,5239,12531,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,628273,164485,409208,105318,2270,1845,65396,2,4,0
1104,2,1,2,25,4,2019,764,9540,16832,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,628419,142246,413509,109877,6571,3087,65542,2,4,0
1105,5,3,13,19,5,2019,5239,24553,34794,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,628591,687866,779443,509561,20149,2556,40235,5,2,0
1106,5,3,13,19,5,2019,5239,24073,34314,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,628633,641502,778963,506771,19669,5449,40277,5,2,0
1107,5,3,13,19,5,2019,5239,26343,36584,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,628744,650083,781233,507698,21939,2417,40388,5,2,0
1108,2,1,2,25,4,2019,764,7594,14886,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,628745,163411,411563,106377,4625,5310,65868,2,4,0
1109,2,1,2,25,4,2019,764,8773,16065,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,628908,128897,412742,107714,5804,6393,66031,2,4,0
1110,2,1,2,25,4,2019,764,6573,13865,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629097,129878,410542,107151,3604,5095,66220,2,4,0
1111,5,3,13,19,5,2019,5239,26146,36387,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629149,649096,781036,507296,21742,2992,40793,5,2,0
1112,5,3,13,19,5,2019,5239,27116,37357,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629161,646619,782006,508601,22712,4553,40805,5,2,0
1113,2,1,2,25,4,2019,764,7694,14986,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629193,146826,411663,107832,4725,5880,66316,2,4,0
1114,2,1,2,25,4,2019,764,4930,12222,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629392,129620,408899,102569,1961,4286,66515,2,4,0
1115,5,3,13,19,5,2019,5239,24310,34551,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629405,670199,779200,510744,19906,5580,41049,5,2,0
1116,2,1,2,25,4,2019,764,9635,16927,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629469,126462,413604,106788,6666,3738,66592,2,4,0
1117,2,1,2,25,4,2019,764,8781,16073,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629556,121718,412750,110334,5812,5267,66679,2,4,0
1118,2,1,2,25,4,2019,764,9091,16383,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629771,152021,413060,105978,6122,1262,66894,2,4,0
1119,5,3,13,19,5,2019,5239,24063,34304,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629787,668009,778953,508282,19659,5989,41431,5,2,0
1120,2,1,2,25,4,2019,764,9161,16453,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629799,139828,413130,105145,6192,4256,66922,2,4,0
1121,5,3,13,19,5,2019,5239,26483,36724,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629836,646266,781373,512325,22079,5676,41480,5,2,0
1122,2,1,2,25,4,2019,764,6589,13881,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629864,135771,410558,106451,3620,5946,66987,2,4,0
1123,2,4,17,28,9,2020,4261,22671,36456,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629897,490032,779900,146574,12000,2619,124825,2,4,1
1124,2,1,2,25,4,2019,764,7951,15243,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,629915,120115,411920,108848,4982,2811,67038,2,4,0
1125,2,4,17,28,9,2020,4261,23776,37561,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629999,524456,781005,150104,13105,2670,124927,2,4,1
1126,5,3,13,19,5,2019,5239,24811,35052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630026,685200,779701,510280,20407,3247,41670,5,2,0
1127,2,4,17,28,9,2020,4261,22419,36204,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630051,495606,779648,149958,11748,3192,124979,2,4,1
1128,2,1,2,25,4,2019,764,9392,16684,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,630237,150478,413361,106831,6423,5531,67360,2,4,0
1129,2,4,17,28,9,2020,4261,24995,38780,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630354,529366,782224,147707,14324,2711,125282,2,4,1
1130,2,1,2,25,4,2019,764,8882,16174,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,630386,124818,412851,104905,5913,4530,67509,2,4,0
1131,5,3,13,19,5,2019,5239,26144,36385,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630424,655426,781034,509392,21740,4286,42068,5,2,0
1132,5,3,13,19,5,2019,5239,25824,36065,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630563,639547,780714,512136,21420,5668,42207,5,2,0
1133,2,1,2,25,4,2019,764,5295,12587,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,630582,167170,409264,101300,2326,2193,67705,2,4,0
1134,2,1,2,25,4,2019,764,5392,12684,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,630670,174130,409361,104574,2423,6353,67793,2,4,0
1135,5,3,13,19,5,2019,5239,28855,39096,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630722,663673,783745,515513,24451,5394,42366,5,2,0
1136,2,4,17,28,9,2020,4261,27305,41090,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630759,515098,784534,151032,16634,2772,125687,2,4,1
1137,5,3,13,19,5,2019,5239,26335,36576,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630770,646081,781225,509073,21931,5487,42414,5,2,0
1138,2,1,2,25,4,2019,764,10068,17360,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,630784,178372,414037,107501,7099,1648,67907,2,4,0
1139,2,4,17,28,9,2020,4261,22179,35964,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630919,545150,779408,146584,11508,5960,125847,2,4,1
1140,2,4,17,28,9,2020,4261,23918,37703,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630928,512617,781147,149014,13247,3166,125856,2,4,1
1141,5,3,13,19,5,2019,5239,24411,34652,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,630971,634488,779301,510239,20007,5457,42615,5,2,0
1142,2,1,2,25,4,2019,764,6488,13780,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,631005,124945,410457,106392,3519,3248,68128,2,4,0
1143,2,4,17,28,9,2020,4261,23586,37371,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,631033,496140,780815,147431,12915,3687,125961,2,4,1
1144,5,3,13,19,5,2019,5239,25684,35925,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,631120,637653,780574,511403,21280,3209,42764,5,2,0
1145,2,4,17,28,9,2020,4261,23105,36890,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,631275,544505,780334,147200,12434,5847,126203,2,4,1
1146,2,1,2,25,4,2019,764,7033,14325,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,631284,143592,411002,106974,4064,2927,68407,2,4,0
1147,2,1,2,25,4,2019,764,9591,16883,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,631301,177476,413560,109413,6622,3748,68424,2,4,0
1148,5,3,13,19,5,2019,5239,26419,36660,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,631323,632125,781309,508575,22015,1520,42967,5,2,0
