Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,Restaurant Status,sqf,mthly rent,Restaurant Type.1,Location Type
5,2,5,9,7,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14797659.3,14011083.23,780458.1011,6117.971825,32609.19838,1,9468.0625,565678.6719,5,3
5,2,7,26,12,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14807252.94,14025982.35,778455.6002,2814.994035,30604.29401,1,9571.0625,872436.1719,5,2
5,2,5,10,10,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14773668.31,13992156.64,779200.6709,2310.995981,31350.25914,1,10933.0625,925331.1719,5,2
5,2,6,14,11,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14804569.73,14013893.81,783766.9566,6908.964065,35922.02706,0,9102.0625,925841.1719,5,2
5,2,5,18,11,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14811742.13,14018458.31,783818.8913,9464.932552,35974.02423,0,8019.0625,749003.6719,5,1
5,2,5,18,11,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14775683.84,13990713.4,779369.4605,5600.976387,31519.25111,0,9808.0625,787778.6719,5,1
5,3,12,20,3,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,14812073.81,14018523.31,784076.5679,9473.932419,36232.01018,1,8922.0625,780908.6719,5,2
5,2,6,18,11,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14817449.06,14027171.83,782718.2725,7558.956987,34872.08315,0,10331.0625,792676.1719,5,2
5,3,11,24,5,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,14780524.6,13994706.44,779585.1911,6232.970754,31735.24081,1,9552.0625,830273.6719,5,2
5,2,5,8,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14815703.04,14032397.75,778688.31,4616.983956,30837.2832,0,10205.0625,831473.6719,5,2
5,1,2,13,7,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14778155.58,13991291.06,780902.545,5961.973243,33054.17633,1,13827.0625,832246.1719,5,3
5,3,14,4,2,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,14825711.76,14038482.15,780822.645,6406.969101,32974.18033,0,12093.0625,832906.1719,5,2
5,1,3,11,7,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14782630.37,13999902.55,779878.8245,2848.993892,32029.22666,1,11925.0625,1106321.172,5,3
5,2,7,30,6,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14794262.27,14006227.93,782645.3636,5388.97814,34799.08699,1,9130.0625,702331.1719,5,2
5,2,7,8,7,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14788163.42,14008264.93,778543.4907,1354.998618,30692.28993,1,12092.0625,750136.1719,5,1
5,2,6,30,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14809165.06,14022048.14,780577.9512,6538.967811,32729.19247,1,9928.0625,758086.1719,5,2
5,4,18,29,12,2018,2739,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,14793045.84,14005347.13,779929.7609,7768.954561,32080.2242,1,12584.0625,768443.6719,5,1
5,2,10,4,2,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14821710.22,14038561.49,778332.7533,4815.982544,30481.29967,0,7420.125,684300,5,3
5,2,8,7,10,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14818639.95,14032824.2,779110.7831,6704.966159,31260.26339,1,6257.125,688885,5,2
5,1,2,24,11,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,14808397.96,14015942.24,783104.7875,9350.934166,35259.06268,0,6889.125,699230,5,3
5,2,8,10,12,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,14819733.17,14031108.72,782552.48,6071.972247,34706.09187,1,4852.125,595215,5,2
5,3,14,30,6,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,15049044,14266860,780195,1989,31869,1,4895.125,605480,5,2
5,1,4,30,6,2018,2739,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10622575.45,9850422.705,768337.0658,3815.680964,33378.55428,1,7170.125,606240,5,2
5,1,3,30,6,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10644190.51,9866301.076,770459.6441,7429.790177,35573.23122,1,7492.125,608190,5,2
5,2,5,12,11,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10624742.9,9854018.676,766941.5349,3782.686457,31935.62357,0,6572.125,617405,5,2
5,3,11,10,7,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10633389.1,9855953.136,768430.7418,9005.222589,33475.41209,1,6084.125,635735,5,1
5,2,7,30,6,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10631487.02,9854709.421,770719.3998,6058.195688,35841.80998,0,7272.125,639705,5,2
5,3,11,13,1,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10623430.56,9849048.085,769267.0477,5115.426561,34340.12438,1,5803.125,642405,5,2
5,2,10,26,2,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10644494.32,9869273.009,768357.3467,6863.967452,33399.5235,0,5968.125,368915,5,2
5,2,5,20,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10636922.85,9861279.984,769785.6197,5857.248157,34876.30943,1,4885.125,375325,5,3
5,2,5,22,3,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10634130.78,9856493.19,770967.5638,6670.024991,36098.4046,1,6047.125,401220,5,1
5,1,2,28,11,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10631790.08,9854221.609,770007.7204,7560.74715,35105.95647,0,6786.125,414460,5,3
5,2,7,21,1,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10637760.18,9862283.573,767976.8431,7499.767271,33006.09721,0,6071.125,675672.5,5,3
5,2,5,24,7,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10626202.85,9853248.42,766124.4539,6829.977661,31090.79257,1,7433.125,728567.5,5,3
5,2,7,26,3,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10634919.48,9854334.925,769971.0267,10613.53084,35068.01496,1,5602.125,729077.5,5,2
5,2,6,19,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10623204.78,9850295.747,768523.4524,4385.578538,33571.27094,1,4519.125,552240,5,2
5,2,6,14,1,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10630949.8,9856706.973,767440.8449,6801.986026,32451.89369,0,6308.125,591015,5,2
5,2,7,11,12,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10647231.67,9865576.841,770860.3802,10794.44592,35987.58004,0,7142.125,621690,5,2
5,2,5,22,3,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10633945.93,9863962.068,765563.2951,4420.571776,30510.57727,1,5422.125,584145,5,3
5,3,14,31,1,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10630651,9854979.815,768499.3093,7171.872728,33546.30778,0,6831.125,595912.5,5,2
5,3,14,26,11,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10623939.16,9852828.667,767895.7205,3214.773537,32922.21858,1,6052.125,633510,5,1
5,1,2,22,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10637884.69,9861158.037,769186.8965,7539.754087,34257.24922,0,6705.125,634710,5,3
5,3,14,29,12,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10642248.05,9867269.27,769594.4163,5384.364671,34678.61139,0,10327.125,635482.5,5,2
5,1,2,24,7,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10629622.75,9850426.014,769584.7592,9611.974947,34668.62656,1,8593.125,636142.5,5,3
5,3,14,3,9,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10629685.86,9859234.473,765744.8765,4706.514581,30698.32498,0,8425.125,909557.5,5,2
5,2,5,30,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10631484.89,9857796.481,767571.2238,6117.179941,32586.70121,0,5630.125,505567.5,5,3
5,2,6,3,3,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10620033.73,9850516.959,765938.0471,3578.71936,30898.0549,0,8592.125,553372.5,5,3
5,2,5,30,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10641696.47,9864019.207,768733.014,8944.246587,33787.95046,0,6428.125,561322.5,5,3
5,2,9,10,12,2018,2739,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10628718.06,9856801.993,767677.4599,4238.606311,32696.54373,1,9084.125,571680,5,3
5,3,14,7,11,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10632307.42,9863857.828,765634.7693,2814.82639,30584.47816,1,7455,721725.7813,5,2
5,4,18,17,1,2018,2739,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10618749.28,9850083.114,766355.2854,2310.882988,31329.46547,0,6292,726310.7813,5,3
5,2,7,15,1,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10636619.3,9858940.768,770770.5786,6907.954178,35894.72664,0,6924,736655.7813,5,2
5,4,15,22,8,2018,2739,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10641081.99,9860798.162,770820.789,9463.037231,35946.64464,0,4887,632640.7813,5,2
5,4,15,5,6,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10621613.02,9849494.193,766518.5099,5600.312679,31498.23271,0,4930,642905.7813,5,2
5,2,8,2,6,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10624751.06,9845968.959,769209.1067,9572.991352,34280.21466,0,7205,643665.7813,5,2
5,4,17,22,3,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10641366.56,9860824.613,771069.9179,9472.033491,36204.23653,1,7527,645615.7813,5,1
5,1,3,15,2,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10641655.71,9864341.316,769756.649,7557.748143,34846.3553,0,6607,654830.7813,5,1
5,4,16,3,7,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10624082.31,9851123.038,766727.1263,6232.148819,31713.93334,1,6119,673160.7813,5,2
5,1,2,28,3,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10636941.49,9866465.148,765859.8123,4616.532969,30817.16451,1,7307,677130.7813,5,2
5,2,6,22,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10623692.31,9849730.105,768000.988,5961.221222,33031.06095,0,5838,679830.7813,5,2
5,2,6,13,5,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10643265.94,9868936.112,767923.7266,6406.100638,32951.1767,1,6003,406340.7813,5,3
5,1,2,14,11,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10623101.61,9853241.715,767011.07,2848.822168,32007.52255,1,4920,412750.7813,5,3
5,3,11,30,1,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10630894,9855819.487,769686.1539,5388.363723,34773.46671,0,6082,438645.7813,5,2
5,3,14,19,3,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10623723.52,9856648.792,765719.7639,1354.959773,30672.35997,1,6821,451885.7813,5,1
5,1,2,8,12,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,10630288.61,9855460.607,767060.3262,7767.677601,32058.45092,1,7468,765993.2813,5,3
5,4,17,18,12,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10639299.72,9868968.256,765515.9684,4815.491839,30461.64272,1,5637,766503.2813,5,3
5,2,9,18,12,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10639610.59,9866638.217,766268.3617,6704.015019,31239.58896,1,4554,589665.7813,5,2
5,3,14,30,6,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,10639253.74,9859774.298,770130.3601,9349.084223,35232.76057,1,6343,628440.7813,5,3
5,2,8,7,12,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,10641608.99,9865941.45,769596.3466,6071.192217,34680.60831,1,7177,659115.7813,5,2
5,2,9,26,3,2018,2739,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,15049044,14266860,780195,1989,31869,1,5457,621570.7813,5,1
5,2,9,21,10,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13534710.21,12744946.55,785947.5372,3816.115283,33411.78977,0,6866,633338.2813,5,1
5,2,6,1,12,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13565763.15,12770164.16,788167.5496,7431.436892,35610.98096,0,6087,670935.7813,5,2
5,2,5,25,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13538927.48,12750656.28,784488.0921,3783.1133,31966.04773,0,6740,672135.7813,5,3
5,2,7,12,11,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13548781.41,12753728.26,786045.508,9007.641707,33508.84074,1,10362,672908.2813,5,3
5,2,9,3,11,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13546251.85,12751753.31,788439.2471,6059.290539,35880.13188,1,8628,673568.2813,5,1
5,1,2,16,12,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13534800.65,12742764.27,786920.1765,5116.207163,34375.30234,0,8460,946983.2813,5,3
5,2,6,28,11,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13567720.03,12774885.9,785968.7488,6865.37291,33432.80077,1,5665,542993.2813,5,2
5,3,14,15,1,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13555509.11,12762188.29,787462.5557,5858.271574,34912.59455,0,8627,590798.2813,5,2
5,3,14,2,1,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13549955.97,12754585.8,788698.8246,6671.35215,36137.27715,0,6463,598748.2813,5,2
5,3,14,9,7,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13546235.88,12750978.57,787694.859,7562.452427,35142.72099,1,9119,609105.7813,5,2
5,4,17,9,4,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13556854.5,12763782.24,785570.8069,7501.445162,33038.59516,0,10885.1875,843637.8906,5,1
5,2,5,11,1,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13539898.41,12749433.4,783633.644,6831.369235,31119.6283,0,9722.1875,848222.8906,5,3
5,2,6,11,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13549431.93,12751158.56,787656.4792,10616.89121,35104.70009,0,10354.1875,858567.8906,5,2
5,3,11,23,2,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13535273.64,12744745.02,786142.4686,4386.152287,33604.89135,0,8317.1875,754552.8906,5,1
5,2,10,8,4,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13546738.87,12754925.25,785010.2571,6803.366222,32483.30947,0,8360.1875,764817.8906,5,2
5,1,3,31,3,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13568398.39,12769013.76,788586.7116,10797.92183,36026.21431,1,10635.1875,765577.8906,5,2
5,3,11,27,2,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13553916.42,12766448.42,783046.8453,4421.15472,30538.34677,0,10957.1875,767527.8906,5,2
5,2,8,1,2,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13545473.16,12752182.54,786117.22,7173.407106,33579.87822,0,10037.1875,776742.8906,5,2
5,3,14,8,7,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13537467.71,12748766.66,785485.9663,3215.081836,32954.55155,1,9549.1875,795072.8906,5,3
5,4,16,6,7,2018,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13556372.36,12761994.56,786836.3465,7541.449924,34292.25765,1,10737.1875,799042.8906,5,2
5,2,10,1,4,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13564350.3,12771702.5,787262.5722,5385.229514,34714.48632,0,9268.1875,801742.8906,5,1
5,1,3,7,12,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13541819.16,12744951.96,787252.4717,9614.731041,34704.48081,1,9433.1875,528252.8906,5,3
5,3,13,9,4,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13546883.34,12758939.44,783236.7219,4707.175381,30726.43729,0,8350.1875,534662.8906,5,1
5,2,6,16,1,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13547920.54,12756655.64,785146.6068,6118.296218,32618.37856,1,9512.1875,560557.8906,5,2
5,1,2,22,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13532114.06,12745096.24,783438.7173,3579.101415,30926.53421,0,10251.1875,573797.8906,5,3
5,3,14,18,4,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13561847.48,12766539.2,786361.6401,8946.633052,33822.00626,0,9536.1875,835010.3906,5,2
5,1,3,26,7,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13544573.1,12755076.25,785257.7091,4239.142246,32728.43497,1,10898.1875,887905.3906,5,3
5,3,14,19,4,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13552219.56,12766282.92,783121.5839,2815.062747,30612.38239,0,9067.1875,888415.3906,5,2
5,1,3,13,12,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13530593.49,12744407.42,783875.0281,2311.04229,31358.74567,1,7984.1875,711577.8906,5,2
5,1,2,22,4,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13553875.13,12758472.97,788492.7812,6909.377709,35933.16178,0,9773.1875,750352.8906,5,3
5,1,2,4,5,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13559434.07,12761423.07,788545.3,9465.708564,35985.19109,1,10607.1875,781027.8906,5,3
5,2,5,15,1,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13533119.54,12743472.58,784045.7168,5601.248282,31527.82915,0,8887.1875,743482.8906,5,2
5,2,9,2,2,2018,3198,15234,23223,25025,24401,24369,24392,27059,23745,12812,5819,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13534311.36,12737876.06,786859.5751,9575.725133,34315.27004,0,10296.1875,755250.3906,5,2
5,2,10,31,1,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13559745.47,12761464.87,788805.8879,9474.709917,36243.3374,0,9517.1875,792847.8906,5,1
5,2,10,11,2,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13562042.65,12767050.94,787432.2547,7559.452077,34882.57812,0,10170.1875,794047.8906,5,1
5,2,5,3,5,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,13536555.83,12746058.65,784263.8747,6233.307443,31743.93653,1,13792.1875,794820.3906,5,3
5,3,11,21,2,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,13558398.88,12770424.8,783356.9084,4617.168737,30845.49491,0,12058.1875,795480.3906,5,3
5,1,1,8,2,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,13535405.35,12743847.01,785596.0566,5962.281294,33063.60807,0,11890.1875,1068895.391,5,3
