Unknown,Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,Restaurant Status,sqf,mthly rent,Restaurant Type.1,Location Type,
1076,1077,2,1,1,15,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2155826.308,1989224.08,59400.85793,107201.3697,10352.83294,0,650,60000,2,2,
1077,1078,2,1,2,2,9,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2201010.666,2028769.417,60943.6288,111297.6203,11844.47973,1,2000,40000,2,2,
1078,1079,2,1,1,15,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2190254.054,2014826.338,62793.93085,112633.7849,13633.49125,0,2000,73900,2,2,
1079,1080,2,1,1,12,4,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2205581.924,2027288.213,64154.15902,114139.5525,14948.67949,0,500,15000,2,2,
1080,1081,2,1,1,16,4,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2173409.601,1995779.287,65108.72908,112521.5854,15871.65034,0,500,48000,2,1,
1081,1082,2,1,1,11,7,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2125274.148,1952869.099,61626.9193,110778.1301,12505.13338,1,650,60000,2,1,
1082,1083,2,4,16,28,2,2018,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2205427.015,2027800.476,64650.71036,112975.8282,15428.79257,0,1581,36363,2,2,
1083,1084,2,1,2,14,6,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2209397.736,2036347.439,62330.3572,110719.9407,13185.27086,1,1300,45000,2,2,
1084,1085,2,1,2,16,4,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2181856.164,2010173.692,59691.56882,111990.9029,10633.90893,0,800,35000,2,2,
1085,1086,2,1,2,25,4,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2167540.371,1993791.959,61305.57724,112442.8342,12194.43669,0,1297,78000,2,2,
1086,1087,2,1,1,5,2,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2179656.049,2009697.765,59744.71568,110213.5689,10685.29444,0,500,75000,2,2,
1087,1088,2,1,3,12,9,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2190835.217,2018868.102,60190.80719,111776.3081,11116.6027,1,148,18900,2,2,
1088,1089,2,1,1,28,4,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2559808.832,2390909.669,59653.09781,109246.0652,10275.46805,0,1100,112000,2,2,
1089,1090,2,1,1,25,6,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2553795.311,2379771.642,62192.4787,111831.1901,12707.48676,1,1800,63000,2,1,
1090,1091,2,1,2,29,11,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2577819.979,2396354.613,65376.83724,116088.5292,15757.2437,1,500,56000,2,1,
1091,1092,2,1,1,16,8,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2470325.469,2287732.909,65679.75271,116912.8073,16047.35695,0,900,40000,2,2,
1092,1093,2,1,1,7,9,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2584759.051,2409815.96,63106.39757,111836.694,13582.77123,1,3000,60000,2,2,
1093,1094,2,1,1,22,8,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2561757.732,2387223.369,63143.392,111390.9712,13618.20175,0,800,35000,2,3,
1094,1095,2,1,1,15,8,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2487876.678,2314044.61,61043.959,112788.1098,11607.52241,0,1000,63000,2,2,
1095,1096,2,1,2,17,9,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2549449.101,2380626.729,60443.75626,108378.6157,11032.69607,1,2350,168000,2,1,
1096,1097,2,1,1,21,8,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2462763.561,2285141.701,63540.8906,114080.9695,13998.89776,0,410,40000,2,2,
1097,1098,2,4,17,21,1,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2520338.743,2350645.08,60937.39786,108756.2649,11505.46662,1,768,55000,2,2,
1098,1099,2,1,3,7,1,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2563735.943,2383793.091,65436.14322,114506.7092,15814.04315,1,250,35000,2,2,
1099,1100,2,1,2,29,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2563303.923,2384026.295,65521.93027,113755.698,15896.20463,0,6200,90000,2,2,
1100,1101,2,1,1,15,9,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2498571.994,2324600.59,61997.10877,111974.2954,12520.376,1,2428,125000,2,2,
1101,1102,2,1,1,31,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2556613.262,2381266.126,61671.9161,113675.2198,12208.93129,1,400,40000,2,2,
1102,1103,2,4,17,12,3,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2009745.615,1838721.019,61684.14465,109340.4505,12551.10014,0,500,56000,2,2,
1103,1104,2,3,13,26,10,2018,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2017294.149,1849913.826,60101.6351,107278.6877,11021.29776,1,3200,10000,2,3,
1104,1105,2,4,17,7,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1988785.56,1820139.193,61165.49721,107480.8701,12049.72319,1,1000,124568,2,2,
1105,1106,2,3,12,1,6,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2052266.825,1882535.091,61171.75759,108559.9757,12055.77498,1,1800,120000,2,2,
1106,1107,2,1,1,7,3,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2031740.625,1852901.277,64357.46423,114481.8836,15135.45483,0,700,68000,2,1,
1107,1108,2,1,1,14,9,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2022813.218,1852819.454,61292.79431,108700.9705,12172.78114,1,960,80000,2,3,
1108,1109,2,1,1,20,10,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2050916.961,1883300.65,59648.1604,107968.1508,10582.93249,1,1000,80000,2,3,
1109,1110,2,4,18,10,3,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1991010.9,1818573.551,61637.17722,110800.1722,12505.69649,0,650,60000,2,2,
1110,1111,2,1,1,17,1,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2060335.156,1877804.54,65007.97472,117522.641,15764.33094,0,2000,40000,2,1,
1111,1112,2,1,1,23,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1968339.151,1796603.135,61432.62505,110303.3909,12307.95545,1,2500,40000,2,1,
1112,1113,2,1,1,23,11,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2053945.395,1876285.392,64661.76745,112998.2356,15429.63704,1,6020,14000,2,2,
1113,1114,2,1,1,3,2,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2140938.184,1966762.758,63109.50684,111065.9192,13846.51595,1,800,35000,2,2,
1114,1115,2,3,14,16,1,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2086567.917,1915186.871,61770.20101,109610.8448,12554.66301,0,1297,78000,2,2,
1115,1116,2,1,1,30,5,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2045517.253,1869113.866,63253.04228,113150.3444,13984.96717,1,3500,106050,2,3,
1116,1117,2,3,12,2,9,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2081963.524,1902963.174,63844.10256,115156.2478,14555.09307,1,650,80000,2,1,
1117,1118,2,3,14,7,2,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2100808.383,1930462.41,61377.76217,108968.2113,12176.13245,0,1000,63000,2,1,
1118,1119,2,1,2,13,5,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2090859.483,1923886.33,59490.36176,107482.7914,10355.6474,0,410,40000,2,1,
1119,1120,2,1,1,22,9,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2041702.598,1869606.048,61517.98104,110578.5688,12311.38162,1,500,45000,2,2,
1120,1121,2,4,15,12,1,2018,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2133950.856,1955907.5,64756.33257,113287.0237,15435.02156,1,298,27000,2,2,
1121,1122,2,1,2,2,8,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2126488.191,1956768.056,60918.48673,108801.6488,11733.1364,0,350,40000,2,3,
1122,1123,2,1,1,11,3,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2101849.409,1927697.402,61400.7821,112751.2246,12198.33655,0,500,30000,2,3,
1123,1124,2,1,1,6,11,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2111272.995,1940927.406,59835.23631,110510.3525,10688.29187,1,1558,71000,2,2,
1124,1125,2,1,3,1,10,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1879543.002,1702821.788,63686.46968,113034.7449,14731.93601,1,600,40000,2,3,
1125,1126,2,2,5,1,8,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2152295.35,1982057.346,61336.49138,108901.5127,12101.88899,0,2000,125000,2,2,
1126,1127,2,2,5,16,10,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2099768.734,1930624.398,61287.25664,107857.0791,12054.44545,1,700,48000,2,2,
1127,1128,2,1,1,19,2,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2144933.547,1966063.91,65172.83325,113696.8035,15798.73438,0,500,80000,2,2,
1128,1129,2,1,2,3,7,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2171065.691,2000828.366,61293.54195,108943.7825,12060.50199,1,2000,11000,2,2,
1129,1130,2,1,1,19,12,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2130418.534,1953374.746,62389.704,114654.0838,13116.78917,0,450,40000,2,2,
1130,1131,2,1,1,2,3,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2110773.369,1932593.827,64853.51411,113326.0281,15491.02043,0,500,56000,2,2,
1131,1132,2,2,6,8,2,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2146853.171,1967452.161,64492.26938,114908.7404,15142.90566,0,2347,102000,2,2,
1132,1133,2,2,6,22,9,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2167412.704,1994614.744,61074.62443,111723.335,11849.54975,1,1000,124568,2,2,
1133,1134,2,2,5,28,8,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2103200.513,1926908.598,63340.91356,112951.0006,14033.40696,0,900,85000,2,2,
1134,1135,2,2,5,20,10,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2163040.388,1986758.481,64681.28086,111600.6263,15325.04706,1,2000,65000,2,1,
1135,1136,2,1,3,25,10,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2158644.455,1982642.107,62932.87144,113069.477,13640.20264,1,3500,100000,2,2,
1136,1137,2,1,2,20,12,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2144641.004,1965265.199,63705.00228,115670.8021,14384.25792,0,700,68000,2,2,
1137,1138,2,1,1,4,3,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2172230.883,1993345.181,64299.08446,114586.6181,14956.74303,0,960,80000,2,2,
1138,1139,2,1,2,24,11,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2101827.162,1928866.345,61760.82259,111199.995,12510.78293,1,1600,98000,2,2,
1139,1140,2,1,2,10,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2174710.074,2001101.413,62467.2861,111141.3752,13191.54959,1,650,70000,2,3,
1140,1141,2,1,2,17,7,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2150875.35,1978636.253,59817.31669,112421.7809,10637.99795,1,2500,40000,2,2,
1141,1142,2,1,2,10,7,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2196718.665,2028546.198,59487.20372,108685.2631,10270.58469,1,500,50000,2,3,
1142,1143,2,1,2,2,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2194459.95,2021204.571,62012.08678,111243.292,12700.01528,0,650,60000,2,1,
1143,1144,2,4,17,8,9,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2215124.086,2040954.71,62920.63777,111248.7375,13574.23385,1,11692,242000,2,2,
1144,1145,2,1,4,15,7,2018,2739,7638,14489,18103,18217,17977,16847,18401,15068,8773,5860,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2199884.163,2026119.017,62957.41334,110807.7331,13609.61971,1,800,58800,2,2,
1145,1146,2,4,16,31,1,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2239752.143,2065170.681,63208.5643,111372.8973,13851.28162,0,148,18900,2,2,
1146,1147,2,2,5,17,5,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2180219.062,2008444.138,61865.09718,109909.8269,12558.58084,1,1500,180000,2,2,
1147,1148,2,1,2,19,5,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2228085.398,2052799.199,61445.21737,113840.9813,12154.5708,1,750,30000,2,3,
1148,1149,2,3,12,20,1,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2203442.677,2020199.181,65248.97088,117994.5247,15814.62016,0,500,15000,2,2,
1149,1150,2,2,8,29,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2189869.189,2021769.015,60273.41391,107826.76,11027.06574,1,650,60000,2,2,
1150,1151,2,2,8,30,8,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2134711.151,1957889.639,63352.551,113468.9609,13989.82863,0,2000,40000,2,3,
1151,1152,2,2,5,28,5,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2231155.355,2060684.402,61349.71367,109121.2395,12062.67678,1,1850,60000,2,2,
1152,1153,2,2,7,31,1,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2235656,2055426.014,65324.75813,114905.2276,15887.54566,0,148,18900,2,2,
1153,1154,2,1,3,25,7,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2227139.948,2054099.589,61130.39562,111909.9626,11851.64914,1,500,56000,2,2,
1154,1155,2,1,2,24,8,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2194873.541,2020771.237,61040.16074,113062.1437,11764.82521,0,900,40000,2,2,
1155,1156,2,1,1,3,9,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2158966.275,1982423.622,63400.90053,113141.7523,14036.35148,1,3000,60000,2,2,
1156,1157,2,1,2,21,2,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2222306.339,2045775.661,64743.83348,111786.8443,15328.55855,0,3074,128000,2,3,
1157,1158,2,1,2,28,4,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2181802.815,2014795.514,60009.19459,106998.1062,10772.83682,0,600,45000,2,2,
1158,1159,2,3,12,23,7,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2157696.964,1984494.232,61817.85404,111384.8783,12513.12315,1,410,40000,2,2,
1159,1160,2,1,2,24,7,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2238423.257,2055033.701,65208.97381,118180.5827,15776.13338,1,3410,80000,2,3,
1160,1161,2,4,17,23,2,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2402711.439,2233773.362,59663.69051,109274.3867,10275.84553,0,2000,75000,2,3,
1161,1162,2,4,17,22,9,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2412820.343,2235787.728,64352.61125,112680.0039,14765.49891,1,350,60000,2,3,
1162,1163,2,4,17,13,3,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2423684.357,2248700.292,63118.08509,111865.9791,13583.42343,0,400,67000,2,3,
1163,1164,2,4,17,25,8,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2405430.541,2230855.359,63155.09153,111420.0908,13618.85727,1,350,40000,2,2,
1164,1165,2,1,1,6,3,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2439083.866,2262963.029,61633.51346,114487.3232,12161.93871,0,1000,52998,2,2,
1165,1166,2,3,12,30,6,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2408123.24,2228137.669,65448.58855,114536.9821,15814.92047,0,1000,100000,2,3,
1166,1167,2,1,2,3,7,2018,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2355806.036,2178424.484,63601.37356,113780.1787,14046.17741,1,500,80000,2,2,
1167,1168,2,3,12,27,8,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2451044.683,2269936.336,64658.53449,116449.8131,15058.42629,1,2000,11000,2,2,
1168,1169,2,3,12,1,6,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2325625.183,2146591.441,64336.73494,114697.0073,14750.29716,0,450,45000,2,2,
1169,1170,2,4,18,25,5,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2426344.645,2249254.263,63189.98403,113900.3978,13652.26737,0,1200,105000,2,1,
1170,1171,2,1,2,28,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2442916.471,2262908.965,64567.49002,115440.0165,14971.24954,0,1298,74000,2,2,
1171,1172,2,1,1,14,5,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2354916.814,2180904.742,62008.44088,112003.6316,12520.93217,0,450,35000,2,2,
1172,1173,2,1,1,22,5,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2417440.85,2244148.067,60049.58556,113243.1972,10645.33575,0,1500,80000,2,2,
1173,1174,2,4,16,27,11,2018,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2401522.66,2226134.33,61683.14471,113705.1856,12209.4607,1,800,58800,2,2,
1174,1175,2,2,5,14,8,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,1969892.388,1802294.7,59355.86737,108241.8206,10266.71458,1,1000,80000,2,3,
1175,1176,2,3,13,6,7,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1984993.223,1811435.783,62773.5855,110783.8548,13567.46833,1,650,70000,2,2,
1176,1177,2,1,1,7,5,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2001634.572,1822059.542,65166.165,114408.8648,15878.27266,1,750,30000,2,3,
1177,1178,2,1,3,21,7,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1978926.777,1799919.129,64399.60981,114608.0387,15137.9077,1,500,15000,2,2,
1178,1179,2,1,3,17,7,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1969993.757,1799847.15,61331.14682,108815.4605,12174.37244,1,500,48000,2,2,
1179,1180,2,4,17,9,5,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1993518.529,1821087.414,60991.65023,111439.4656,11846.49386,1,1157,32000,2,3,
1180,1181,2,1,3,10,8,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1786886.124,1610380.096,63636.18547,112869.8429,14729.35395,1,1000,63000,2,2,
1181,1182,2,3,12,8,4,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1737187.449,1558533.723,64699.77713,113953.9488,15717.91175,0,768,55000,2,2,
