Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+, total Sales , payment type-cash , payment type-visa/master , payment type-others ,#of transaction,sqf,mthly rent,Location Type
847,5,4,17,10,7,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"203,766,797","140,065,569","54,694,289","9,006,939",33499.15399,9517.1875,792847.8906,1
854,5,3,14,3,12,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"202,383,491","140,221,103","54,661,430","7,500,958",33029.17759,9893.1875,720660.3906,1
1118,5,4,17,30,11,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"209,808,958","148,207,509","55,999,364","5,602,085",31554.31352,10992.0625,804953.6719,1
1578,5,1,3,25,6,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"217,222,350","108,576,243","104,424,169","4,221,937",30560.39303,4554,589665.7813,2
1589,5,1,3,30,6,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"222,187,880","107,854,336","104,725,963","9,607,582",32923.19282,8627,590798.2813,2
1579,5,2,8,13,6,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"218,525,151","110,539,855","104,519,175","3,466,121",31304.18507,6343,628440.7813,2
1575,5,1,1,20,3,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"220,309,779","110,478,030","104,464,159","5,367,590",30873.47017,6106,713098.2813,2
1582,5,1,1,21,3,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"223,564,068","110,624,100","104,540,697","8,399,270",31472.67732,6866,633338.2813,2
1566,5,1,3,20,8,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"222,132,122","108,331,875","105,113,043","8,687,205",35954.16004,7527,645615.7813,2
1584,5,2,5,31,3,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"228,353,384","109,008,111","105,140,659","14,204,615",36170.41001,6740,672135.7813,2
1616,5,1,3,1,7,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"233,036,614","111,585,519","110,111,061","11,340,034",34894.25135,10170.1875,794047.8906,2
1150,5,3,14,8,8,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"226,200,275","137,547,238","78,447,924","10,205,113",32484.21499,7492.125,608190,2
1143,5,2,5,27,1,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"225,056,523","137,576,593","78,692,475","8,787,455",34913.63372,12584.0625,768443.6719,2
1165,5,3,13,11,7,2018,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"226,720,927","137,561,583","78,795,211","10,364,132",35934.2595,5422.125,584145,2
898,5,3,11,13,1,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"232,335,566","147,735,721","76,926,705","7,673,140",34340.12438,5803.125,642405,2
897,5,2,7,30,6,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"233,979,875","147,820,641","77,071,940","9,087,294",35841.80998,7272.125,639705,2
1475,5,2,8,3,8,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"238,460,511","154,015,386","77,384,871","7,060,254",30711.98916,9433.1875,528252.8906,2
1456,5,3,13,30,6,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"245,136,341","153,967,736","77,659,004","13,509,600",33491.65746,6740,672135.7813,2
1401,5,1,1,19,5,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"241,450,420","154,059,290","77,583,104","9,808,026",32722.03779,6257.125,688885,2
1460,5,1,3,30,6,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"240,629,003","154,045,087","77,797,297","8,786,620",34893.9414,5665,542993.2813,2
1224,5,3,11,25,11,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"246,306,164","162,415,731","79,616,584","4,273,848",32059.22972,10898.1875,887905.3906,2
1206,5,2,5,7,2,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"256,709,333","162,391,044","79,893,329","14,424,960",34729.28562,6463,598748.2813,2
1229,5,3,14,19,12,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"249,233,961","162,553,120","79,455,846","7,224,994",30508.47714,8887.1875,743482.8906,2
1214,5,2,5,15,12,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"252,852,021","162,465,615","80,020,860","10,365,546",35959.75033,10957.1875,767527.8906,2
1205,5,2,5,19,7,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"250,511,430","162,538,318","79,894,368","8,078,743",34739.30535,8627,590798.2813,2
1062,5,3,12,4,7,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"266,966,486","182,766,038","78,831,625","5,368,823",30935.01257,6821,451885.7813,2
1038,5,2,6,15,12,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"267,574,063","182,764,246","79,085,450","5,724,367",33421.68211,6831.125,595912.5,2
1049,5,2,6,9,7,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"271,916,876","182,817,853","78,851,346","10,247,676",31128.21265,6292,726310.7813,2
1059,5,2,8,14,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"276,405,119","182,764,313","79,217,477","14,423,329",34715.15155,6003,406340.7813,2
1055,5,3,11,8,1,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"272,714,108","182,850,694","79,102,617","10,760,797",33589.8701,6607,654830.7813,2
1054,5,4,18,23,1,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"268,445,015","183,021,043","78,791,979","6,631,993",30546.61415,7527,645615.7813,2
1067,5,3,14,6,4,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"272,633,493","182,925,822","79,342,967","10,364,703",35944.59944,6343,628440.7813,2
1252,5,1,1,26,8,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"274,821,328","189,314,398","80,683,750","4,823,180",32993.55876,8385.0625,572088.6719,2
1269,5,3,13,1,9,2018,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"279,201,587","189,294,488","80,555,042","9,352,057",31780.13238,12092.0625,750136.1719,2
1256,5,2,8,27,2,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"276,897,887","189,389,058","80,446,871","7,061,958",30760.35155,10933.0625,925331.1719,2
1261,5,1,3,23,5,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"274,100,586","189,442,818","80,434,746","4,223,022",30646.04553,8922.0625,780908.6719,2
1251,5,3,11,28,1,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"280,852,613","189,339,490","80,750,237","10,762,886",33620.37861,9468.0625,565678.6719,2
1255,5,3,12,10,8,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"284,583,244","189,286,350","80,869,812","14,427,082",34747.73725,9571.0625,872436.1719,2
1264,5,2,8,19,11,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"284,616,638","189,407,247","81,005,996","14,203,395",36031.69617,10205.0625,831473.6719,2
1240,5,1,2,1,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"280,540,888","189,505,687","80,734,599","10,300,602",33472.9474,10920.0625,881063.6719,2
970,5,1,3,13,12,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"273,020,178","191,166,111","78,387,503","3,466,563",31358.74567,7984.1875,711577.8906,2
1299,5,2,8,21,2,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"274,888,968","191,176,444","78,343,872","5,368,652",30926.53421,8425.125,909557.5,2
951,5,3,14,9,7,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"281,377,843","191,264,679","78,769,486","11,343,679",35142.72099,9119,609105.7813,2
949,5,3,14,15,1,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"278,966,487","191,432,824","78,746,256","8,787,407",34912.59455,8627,590798.2813,2
943,5,2,6,1,12,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"281,516,373","191,552,462","78,816,755","11,147,155",35610.98096,6087,670935.7813,2
957,5,1,3,31,3,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"286,590,760","191,535,206","78,858,671","16,196,883",36026.21431,10635.1875,765577.8906,2
1439,5,1,1,22,10,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"290,099,446","200,836,313","80,859,330","8,403,803",31568.57438,6607,654830.7813,2
1414,5,1,1,21,5,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"292,458,482","201,094,014","81,063,508","10,300,960",33478.61576,6786.125,414460,2
1021,5,3,12,30,6,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"292,100,969","204,316,877","79,381,437","8,402,656",31544.35196,7170.125,606240,2
995,5,2,6,31,1,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"291,656,997","204,306,146","79,675,887","7,674,964",34394.94116,9468.0625,565678.6719,2
1027,5,2,8,25,2,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"292,807,103","204,322,548","79,540,245","8,944,310",33081.77808,5968.125,368915,2
1025,5,4,18,17,11,2018,2739,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"293,110,763","204,356,048","79,403,783","9,350,931",31760.68637,7272.125,639705,2
1008,5,3,11,13,2,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"288,748,916","204,397,067","79,528,968","4,822,881",32972.60206,10205.0625,831473.6719,2
770,5,2,6,5,1,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"287,857,729","204,745,376","77,743,910","5,368,443",30916.15687,5803.125,642405,2
993,5,2,5,24,3,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"297,571,983","204,472,208","79,586,286","13,513,488",33527.50295,10772.0625,836468.6719,2
1026,5,4,17,13,4,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"290,962,174","204,725,007","79,310,881","6,926,285",30861.31084,5803.125,642405,2
786,5,2,5,15,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"291,145,663","204,932,086","78,130,206","8,083,370",34796.39832,8593.125,636142.5,2
1363,5,2,6,1,8,2018,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"289,813,911","204,539,813","80,999,986","4,274,112",32081.50662,11890.1875,1068895.391,2
1361,5,2,8,9,8,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"294,548,045","204,492,229","81,110,137","8,945,679",33109.85375,13792.1875,794820.3906,2
1335,5,3,11,5,9,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"295,691,274","204,539,916","80,901,341","10,250,017",31160.59803,9119,609105.7813,2
1028,5,2,5,6,4,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"293,928,406","204,784,426","79,531,968","9,612,012",33001.64887,4885.125,375325,2
1350,5,2,6,3,8,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"292,021,996","204,588,005","81,074,136","6,359,855",32773.7483,10251.1875,573797.8906,2
1353,5,3,14,19,10,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"296,402,402","204,616,906","81,418,398","10,367,098",35987.77864,9067.1875,888415.3906,2
753,5,1,1,30,6,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"292,051,946","205,124,640","78,140,458","8,786,847",34899.37697,13827.0625,832246.1719,2
1334,5,3,13,14,4,2018,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"297,025,239","204,662,047","81,107,451","11,255,741",33084.77098,6463,598748.2813,2
1344,5,3,14,11,3,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"294,096,445","204,729,284","81,287,475","8,079,686",34765.46314,9549.1875,795072.8906,2
879,5,3,11,24,5,2018,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"297,228,572","209,920,597","77,958,519","9,349,456",31735.24081,9552.0625,830273.6719,2
884,5,2,7,30,6,2018,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"296,441,422","210,093,419","78,264,536","8,083,467",34799.08699,9130.0625,702331.1719,2
858,5,1,1,10,1,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"298,362,885","210,126,111","78,032,327","10,204,448",32474.20503,10389.0625,895993.6719,2
856,5,1,3,8,1,2018,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"304,256,648","210,038,776","78,293,999","15,923,873",35094.07145,10920.0625,881063.6719,2
863,5,1,1,23,1,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"299,814,480","210,290,143","78,212,901","11,311,436",34282.11394,10072.0625,814168.6719,2
886,5,2,6,30,6,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"298,196,969","210,330,722","78,057,795","9,808,452",32729.19247,9928.0625,758086.1719,2
877,5,3,12,20,3,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"302,896,405","210,277,850","78,407,657","14,210,899",36232.01018,8922.0625,780908.6719,2
878,5,2,6,18,11,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"300,017,840","210,407,577","78,271,827","11,338,435",34872.08315,10331.0625,792676.1719,2
891,5,2,8,10,12,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"297,829,837","210,466,631","78,255,248","9,107,958",34706.09187,4852.125,595215,2
882,5,3,14,4,2,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"298,269,950","210,577,232","78,082,264","9,610,454",32974.18033,12093.0625,832906.1719,2
697,5,2,8,28,1,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"297,702,385","213,805,485","78,172,900","5,724,000",33403,9722.1875,848222.8906,2
699,5,3,13,29,9,2018,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"297,646,715","213,943,815","78,028,400","5,674,500",31958,8317.1875,754552.8906,2
696,5,2,6,7,9,2018,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"295,005,900","214,002,900","78,019,500","2,983,500",31869,10885.1875,843637.8906,2
843,5,3,12,29,3,2018,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"295,005,900","214,002,900","78,019,500","2,983,500",31869,9773.1875,750352.8906,2
706,5,2,8,5,9,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"303,640,530","213,951,630","78,345,900","11,343,000",35133,9268.1875,801742.8906,2
700,5,1,1,26,9,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"305,711,390","214,018,290","78,182,600","13,510,500",33500,8360.1875,764817.8906,2
705,5,3,14,16,2,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"302,490,880","214,039,080","78,445,300","10,006,500",36127,10737.1875,799042.8906,2
704,5,3,14,13,4,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"301,333,450","214,223,550","78,322,900","8,787,000",34903,9549.1875,795072.8906,2
823,5,1,3,12,6,2018,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"300,069,788","218,517,802","78,085,470","3,466,516",31352.92574,9119,609105.7813,2
834,5,1,2,12,1,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"301,071,063","218,643,965","78,153,574","4,273,524",32032.01004,9268.1875,801742.8906,2
797,5,1,1,22,1,2018,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"302,495,905","218,675,011","78,146,352","5,674,542",31960.00103,7205,643665.7813,2
836,5,1,1,10,11,2018,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"298,832,154","218,780,177","78,019,472","2,032,505",30694.84577,8350.1875,534662.8906,2
829,5,4,17,18,12,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"308,865,567","219,088,169","78,438,730","11,338,668",34875.38259,10635.1875,765577.8906,2
1122,5,4,17,30,6,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"311,728,839","222,355,541","80,021,783","9,351,515",31770.78499,9303.0625,839168.6719,2
1127,5,4,17,17,3,2018,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"310,911,908","222,483,221","80,343,680","8,085,007",34841.8193,9571.0625,872436.1719,2
1707,5,2,6,9,6,2019,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"46,174,233","27,512,408","13,666,811","4,995,015",43196.46267,6343,628440.7813,3
1710,5,2,5,15,3,2019,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"46,337,945","27,610,015","13,695,593","5,032,338",44878.48993,6866,633338.2813,3
1684,5,3,14,9,10,2019,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"46,486,707","27,720,692","13,741,258","5,024,756",47547.20857,5630.125,505567.5,3
1648,5,1,3,18,12,2019,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"50,152,876","31,004,210","14,068,296","5,080,370",45254,10205.0625,831473.6719,3
1640,5,3,12,2,5,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"50,243,382","31,097,470","14,042,412","5,103,500",43816,10933.0625,925331.1719,3
1742,5,3,12,7,10,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"28,777,448","12,598,829","11,666,475","4,512,144",46255.03782,10296.1875,755250.3906,1
1673,5,2,6,15,4,2019,2739,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"46,229,727","27,531,767","13,671,195","5,026,765",43452.71739,5602.125,729077.5,1
1657,5,2,8,11,5,2019,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"49,765,966","30,652,280","14,032,386","5,081,300",43259,6257.125,688885,1
1658,5,3,11,2,10,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"49,924,116","30,718,540","14,081,436","5,124,140",45984,6889.125,699230,1
1649,5,1,3,26,10,2019,2739,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"50,029,376","30,825,580","14,074,236","5,129,560",45584,13827.0625,832246.1719,1
1647,5,4,17,4,12,2019,2739,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"50,367,100","31,099,710","14,120,730","5,146,660",48167,9552.0625,830273.6719,1
1750,5,4,17,30,6,2019,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"28,759,924","12,603,859","11,652,921","4,503,144",45144.08059,9893.1875,720660.3906,2
1739,5,2,8,5,6,2019,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"28,788,900","12,586,876","11,666,272","4,535,752",46238.40229,9773.1875,750352.8906,2
1745,5,3,11,30,6,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"28,798,120","12,604,249","11,652,467","4,541,404",45106.87547,13792.1875,794820.3906,2
1672,5,3,13,27,4,2019,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"46,183,998","27,512,058","13,667,749","5,004,192",43251.30352,7433.125,728567.5,2
1670,5,3,12,3,9,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"46,420,644","27,734,655","13,683,343","5,002,646",44162.62961,6786.125,414460,2
1690,5,3,12,16,9,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"46,558,502","27,865,729","13,676,314","5,016,459",43751.84183,6924,736655.7813,2
